upper,middle,lower
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
111.8849799766,106.5475082305,101.8849799766
112.3394619887,107.0021569440,102.3394619887
112.7210108095,107.3838449190,102.7210108095
113.0258137020,107.6887584555,103.0258137020
113.2508248210,107.9138509582,103.2508248210
113.3937956596,108.0568733773,103.3937956596
113.4532975252,108.1163966801,103.4532975252
113.4287358213,108.0918261293,103.4287358213
113.3203559907,107.9834072258,103.3203559907
113.1292410624,107.7922232554,103.1292410624
112.8573008252,107.5201844652,102.8573008252
112.5072527375,107.1700089769,102.5072527375
112.0825947633,106.7451956280,102.0825947633
111.5875704071,106.2499890133,101.5875704071
111.0271262969,105.6893370736,101.0271262969
110.4068627393,105.0688416576,100.4068627393
109.7329777433,104.3947025504,99.7329777433
109.0122050698,103.6736555272,99.0122050698
108.2517469294,102.9129050516,98.2517469294
107.4592020006,102.1200522906,97.4592020006
106.6424894882,101.3030191672,96.6424894882
105.8097699819,100.4699692061,95.8097699819
104.9693639069,99.6292259673,94.9693639069
104.1296683813,98.7891898792,94.1296683813
103.2990733116,97.9582543047,93.2990733116
102.4858775654,97.1447216775,92.4858775654
101.6982060580,96.3567205466,91.6982060580
100.9439285818,95.6021243589,90.9439285818
100.2305811888,94.8884727900,90.2305811888
99.5652909110,94.2228964105,89.5652909110
98.9547045698,93.6120454396,88.9547045698
98.4049223859,93.0620232982,88.4049223859
97.9214370498,92.5783256258,87.9214370498
97.5090788637,92.1657853697,87.5090788637
97.1719674994,91.8285244956,87.1719674994
96.9134708546,91.5699128029,86.9134708546
96.7361714181,91.3925342539,86.7361714181
96.6418404792,91.2981611566,86.6418404792
96.6314204381,91.2877364558,86.6314204381
96.7050153948,91.3613643116,86.7050153948
96.8618901092,91.5183090587,86.8618901092
97.1004773438,91.7570025573,87.1004773438
97.4183935152,92.0750598607,87.4183935152
97.8124624985,92.4693030455,87.8124624985
98.2787473465,92.9357929641,88.2787473465
98.8125896085,93.4698686035,88.8125896085
99.4086558555,94.0661936564,89.4086558555
100.0609909478,94.7188098399,90.0609909478
100.7630775142,95.4211964290,90.7630775142
101.5079010489,96.1663354090,91.5079010489
102.2880199774,96.9467815975,92.2880199774
103.0956399911,97.7547370342,93.0956399911
103.9226919097,98.5821288954,93.9226919097
104.7609122943,99.4206901552,94.7609122943
105.6019260050,100.2620421866,95.6019260050
106.4373298801,101.0977784783,96.4373298801
107.2587766996,101.9195486295,97.2587766996
108.0580585941,102.7191417844,98.0580585941
108.8271890663,103.4885686727,98.8271890663
109.5584828034,104.2201414351,99.5584828034
110.2446324840,104.9065504384,100.2446324840
110.8787818094,105.5409373108,100.8787818094
111.4545940309,106.1169634684,101.4545940309
111.9663152850,106.6288734481,101.9663152850
112.4088321056,107.0715524148,102.4088321056
112.7777225355,107.4405772664,102.7777225356
113.0693003271,107.7322608287,103.0693003271
113.2806517894,107.9436886958,103.2806517894
113.4096649138,108.0727483506,103.4096649138
113.4550504853,108.1181502714,103.4550504853
113.4163549701,108.0794408175,103.4163549701
113.2939650489,107.9570067607,103.2939650489
113.0891037518,107.7520714219,103.0891037518
112.8038182326,107.4666824470,102.8038182326
112.4409593054,107.1036913484,102.4409593054
112.0041529475,106.6667250132,102.0041529475
111.4977640550,106.1601494646,101.4977640550
110.9268528125,105.5890262380,100.9268528125
110.2971241132,104.9590618078,100.2971241132
109.6148705374,104.2765505705,99.6148705374
108.8869094575,103.5483119527,98.8869094575
108.1205149002,102.7816222740,98.1205149002
107.3233448474,101.9841420441,97.3233448474
106.5033647024,101.1638394220,96.5033647024
105.6687676879,100.3289106002,95.6687676879
104.8278929706,99.4876979116,94.8278929706
103.9891423323,98.6486064753,93.9891423323
103.1608962198,97.8200202156,93.1608962198
102.3514300126,97.0102180924,92.3514300126
101.5688313452,96.2272913809,91.5688313452
100.8209193095,95.4790628260,90.8209193095
100.1151663447,94.7730084801,90.1151663447
99.4586235936,94.1161830049,89.4586235936
98.8578504708,93.5151491832,88.8578504708
98.3188491457,92.9759123465,88.3188491457
97.8470045933,92.5038603710,87.8470045933
97.4470308116,92.1037098439,87.4470308116
97.1229237415,91.7794589370,87.1229237415
96.8779213592,91.5343474582,86.8779213592
96.7144713387,91.3708244805,86.7144713387
96.6342066076,91.2905238712,86.6342066076
96.6379290393,91.2942479677,86.6379290393
96.7256014456,91.3819595599,86.7256014456
96.8963479474,91.5527822625,86.8963479474
97.1484627222,91.8050092717,87.1484627222
97.4794270393,92.1361204186,87.4794270393
97.8859344143,92.5428073499,87.8859344143
98.3639236300,93.0210065843,88.3639236300
98.9086192966,93.5659401131,88.9086192966
99.5145795448,94.1721631407,89.5145795448
100.1757503770,94.8336184869,90.1757503770
100.8855261339,95.5436971086,90.8855261339
101.6368154742,96.2953041349,91.6368154742
102.4221122077,97.0809297568,92.4221122077
103.2335702769,97.8927242629,93.2335702769
104.0630821367,98.7225764707,94.0630821367
104.9023597510,99.5621947713,94.9023597510
105.7430173980,100.4031899762,95.7430173980
106.5766554547,101.2371591394,96.5766554547
107.3949443266,102.0557695165,97.3949443266
108.1897076811,102.8508418233,98.1897076811
108.9530041543,103.6144319601,98.9530041543
109.6772067134,104.3389103868,99.6772067134
110.3550788812,105.0170383542,100.3550788812
110.9798470602,105.6420402321,100.9798470602
111.5452682337,106.2076712081,101.5452682337
112.0456923642,106.7082796845,102.0456923642
