macd,signal,hist
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-1.4189703376,0.1094879691,-1.5284583067
-1.7615543903,-0.2647205028,-1.4968338875
-2.0858626300,-0.6289489283,-1.4569137017
-2.3893604527,-0.9810312331,-1.4083292195
-2.6695680161,-1.3187385897,-1.3508294263
-2.9241118847,-1.6398132487,-1.2842986360
-3.1507712335,-1.9420048457,-1.2087663878
-3.3475188406,-2.2231076447,-1.1244111960
-3.5125570430,-2.4809975243,-1.0315595186
-3.6443487884,-2.7136677771,-0.9306810112
-3.7416438905,-2.9192629998,-0.8223808907
-3.8035005741,-3.0961105147,-0.7073900594
-3.8293023916,-3.2427488900,-0.5865535015
-3.8187705919,-3.3579532304,-0.4608173615
-3.7719720273,-3.4407569898,-0.3312150375
-3.6893226967,-3.4904701312,-0.1988525656
-3.5715870397,-3.5066935129,-0.0648935268
-3.4198731124,-3.4893294328,0.0694563204
-3.2356238010,-3.4385883064,0.2029645054
-3.0206042474,-3.3549914946,0.3343872472
-2.7768856890,-3.2393703335,0.4624846445
-2.5068259351,-3.0928614538,0.5860355187
-2.2130467288,-2.9168985088,0.7038517800
-1.8984082638,-2.7132004598,0.8147921960
-1.5659811482,-2.4837565975,0.9177754493
-1.2190161251,-2.2308085030,1.0117923779
-0.8609118803,-1.9568291785,1.0959172982
-0.4951812777,-1.6644995983,1.1693183206
-0.1254163800,-1.3566829547,1.2312665747
0.2447473830,-1.0363968871,1.2811442701
0.6116675261,-0.7067840045,1.3184515306
0.9717309291,-0.3710810178,1.3428119469
1.3213899930,-0.0325868156,1.3539768086
1.6571981631,0.3053701801,1.3518279830
1.9758444598,0.6394650361,1.3363794237
2.2741866657,0.9664093620,1.3077773037
2.5492828357,1.2829840567,1.2662987790
2.7984208102,1.5860714074,1.2123494027
3.0191454350,1.8726862129,1.1464592221
3.2092832149,2.1400056133,1.0692776016
3.3669641508,2.3853973208,0.9815668300
3.4906405435,2.6064459654,0.8841945781
3.5791025733,2.8009772869,0.7781252864
3.6314905009,2.9670799297,0.6644105712
3.6473033653,3.1031246169,0.5441787485
3.6264040931,3.2077805121,0.4186235810
3.5690209672,3.2800286031,0.2889923641
3.4757454396,3.3191719704,0.1565734692
3.3475263119,3.3248428387,0.0226834731
3.1856603388,3.2970063387,-0.1113460000
2.9917793520,3.2359609414,-0.2441815894
2.7678340301,3.1423355591,-0.3745015290
2.5160744792,3.0170833431,-0.5010088639
2.2390278167,2.8614722379,-0.6224444211
1.9394729836,2.6770723870,-0.7375994034
1.6204130364,2.4657405169,-0.8453274805
1.2850451964,2.2296014528,-0.9445562564
0.9367289551,1.9710269532,-1.0342979982
0.5789525545,1.6926120735,-1.1136595190
0.2152981787,1.3971492945,-1.1818511158
-0.1505937968,1.0876006763,-1.2381944731
-0.5150611402,0.7670683130,-1.2821294532
-0.8744563189,0.4387633866,-1.3132197055
-1.2251829112,0.1059741270,-1.3311570382
-1.5637315092,-0.2279670002,-1.3357645090
-1.8867147547,-0.5597165511,-1.3269982036
-2.1909011581,-0.8859534725,-1.3049476856
-2.4732473606,-1.2034122501,-1.2698351105
-2.7309285199,-1.5089155041,-1.2220130158
-2.9613665129,-1.7994057058,-1.1619608070
-3.1622556759,-2.0719756998,-1.0902799761
-3.3315858234,-2.3238977246,-1.0076880988
-3.4676623154,-2.5526506427,-0.9150116727
-3.5691229744,-2.7559451090,-0.8131778653
-3.6349516804,-2.9317464233,-0.7032052571
-3.6644885103,-3.0782948407,-0.5861936696
-3.6574363186,-3.1941231363,-0.4633131823
-3.6138636944,-3.2780712479,-0.3357924465
-3.5342042654,-3.3292978514,-0.2049064140
-3.4192523550,-3.3472887521,-0.0719636029
-3.2701550360,-3.3318620089,0.0617069729
-3.0884006608,-3.2831697393,0.1947690784
-2.8758039826,-3.2016965879,0.3258926054
-2.6344880145,-3.0882548733,0.4537668587
-2.3668628112,-2.9439764609,0.5771136496
-2.0756013813,-2.7703014449,0.6947000637
-1.7636129737,-2.5689637507,0.8053507770
-1.4340140040,-2.3419738013,0.9079597974
-1.0900969109,-2.0915984233,1.0015015124
-0.7352972548,-1.8203381896,1.0850409347
-0.3731593862,-1.5309024289,1.1577430427
-0.0073010276,-1.2261821487,1.2188811210
0.3586228772,-0.9092211435,1.2678440207
0.7209566857,-0.5831855776,1.3041422634
1.0760805859,-0.2513323449,1.3274129309
1.4204467673,0.0830234775,1.3374232898
1.7506148719,0.4165417564,1.3340731155
2.0632863723,0.7458906796,1.3173956927
2.3553375314,1.0677800500,1.2875574815
2.6238506161,1.3789941632,1.2448564529
2.8661430523,1.6764239410,1.1897191113
3.0797942304,1.9570979989,1.1226962315
3.2626696928,2.2182123377,1.0444573552
3.4129424624,2.4571583626,0.9557840998
3.5291112985,2.6715489498,0.8575623487
3.6100156983,2.8592422995,0.7507733988
3.6548474935,3.0183633383,0.6364841552
3.6631589262,3.1473224559,0.5158364703
3.6348671244,3.2448313896,0.3900357348
3.5702549304,3.3099160977,0.2603388327
3.4699680762,3.3419264934,0.1280415827
