macd,signal,hist
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
-1.3022779300,0.1693055739,-1.4715835039
-1.6322969843,-0.1910149378,-1.4412820466
-1.9448427190,-0.5417804940,-1.4030622250
-2.2375052340,-0.8809254420,-1.3565797920
-2.5079259757,-1.2063255487,-1.3016004270
-2.7538464292,-1.5158297248,-1.2380167043
-2.9731518146,-1.8072941428,-1.1658576718
-3.1639099680,-2.0786173078,-1.0852926602
-3.3244055409,-2.3277749544,-0.9966305864
-3.4531696187,-2.5528538873,-0.9003157314
-3.5490048399,-2.7520840778,-0.7969207621
-3.6110060810,-2.9238684784,-0.6871376025
-3.6385767712,-3.0668101370,-0.5717666342
-3.6314409022,-3.1797362900,-0.4517046122
-3.5896508055,-3.2617191931,-0.3279316124
-3.5135907839,-3.3120935113,-0.2014972726
-3.4039766984,-3.3304701487,-0.0735065497
-3.2618516323,-3.3167464454,0.0548948131
-3.0885777740,-3.2711127111,0.1825349371
-2.8858246830,-3.1940551055,0.3082304225
-2.6555541274,-3.0863549099,0.4308007825
-2.4000017031,-2.9490842685,0.5490825654
-2.1216554689,-2.7835985086,0.6619430397
-1.8232318524,-2.5915251774,0.7682933249
-1.5076491042,-2.3747499627,0.8671008586
-1.1779985936,-2.1353996889,0.9574010953
-0.8375142595,-1.8758226030,1.0383083435
-0.4895405414,-1.5985661907,1.1090256493
-0.1374991290,-1.3063527784,1.1688536493
0.2151451227,-1.0020531981,1.2171983209
0.5649187605,-0.6886588064,1.2535775669
0.9083744255,-0.3692521600,1.2776265855
1.2421253172,-0.0469766646,1.2891019818
1.5628790775,0.2749944838,1.2878845937
1.8674707498,0.5934897370,1.2739810128
2.1528944791,0.9053706854,1.2475237936
2.4163336333,1.2075632750,1.2087703583
2.6551890406,1.4970884281,1.1581006125
2.8671050590,1.7710917543,1.0960133047
3.0499932144,2.0268720463,1.0231211680
3.2020531704,2.2619082711,0.9401448993
3.3217908191,2.4738847807,0.8479060384
3.4080333094,2.6607144864,0.7473188229
3.4599408640,2.8205597620,0.6393811021
3.4770152656,2.9518508627,0.5251644029
3.4591049257,3.0533016753,0.4058032504
3.4064064879,3.1239226378,0.2824838501
3.3194629467,3.1630306996,0.1564322471
3.1991583025,3.1702562202,0.0289020824
3.0467088045,3.1455467370,-0.0988379325
2.8636508704,3.0891675637,-0.2255166933
2.6518258032,3.0016992116,-0.3498734084
2.4133614572,2.8840316607,-0.4706702035
2.1506510378,2.7373555362,-0.5867044984
1.8663292454,2.5631502780,-0.6968210326
1.5632460043,2.3631694233,-0.7999234190
1.2444380361,2.1394231458,-0.8949851097
0.9130985648,1.8941582296,-0.9810596648
0.5725454544,1.6298356746,-1.0572902202
0.2261880989,1.3491061594,-1.1229180606
-0.1225066060,1.0547836064,-1.1772902124
-0.4700488669,0.7498171117,-1.2198659786
-0.8129608293,0.4372615235,-1.2502223528
-1.1478112959,0.1202469596,-1.2680582555
-1.4712499821,-0.1980524287,-1.2731975534
-1.7800409639,-0.5144501358,-1.2655908282
-2.0710949860,-0.8257791058,-1.2453158802
-2.3415003050,-1.1289233457,-1.2125769594
-2.5885517622,-1.4208490290,-1.1677027333
-2.8097777921,-1.6986347816,-1.1111430105
-3.0029650996,-1.9595008452,-1.0434642544
-3.1661807573,-2.2008368276,-0.9653439296
-3.2977915027,-2.4202277626,-0.8775637401
-3.3964800432,-2.6154782187,-0.7810018244
-3.4612582036,-2.7846342157,-0.6766239879
-3.4914767878,-2.9260027301,-0.5654740577
-3.4868320532,-3.0381685947,-0.4486634584
-3.4473687349,-3.1200086228,-0.3273601121
-3.3734795889,-3.1707028160,-0.2027767729
-3.2659014582,-3.1897425444,-0.0761589138
-3.1257079021,-3.1769356160,0.0512277139
-2.9542984615,-3.1324081851,0.1781097236
-2.7533846680,-3.0566034817,0.3032188137
-2.5249729355,-2.9502773724,0.4253044370
-2.2713445070,-2.8144907993,0.5431462924
-1.9950326550,-2.6505991705,0.6555665155
-1.6987973646,-2.4602388093,0.7614414447
-1.3855977515,-2.2453105977,0.8597128462
-1.0585624909,-2.0079609764,0.9493984854
-0.7209585526,-1.7505604916,1.0296019391
-0.3761585541,-1.4756801041,1.0995215500
-0.0276070597,-1.1860654952,1.1584584355
0.3212138408,-0.8846096280,1.2058234688
0.6668193265,-0.5743238371,1.2411431637
1.0057566679,-0.2583077361,1.2640644040
1.3346397278,0.0602817567,1.2743579712
1.6501827973,0.3782619648,1.2719208325
1.9492334274,0.6924562573,1.2567771701
2.2288039300,0.9997257919,1.2290781381
2.4861012312,1.2970008797,1.1891003514
2.7185547810,1.5813116600,1.1372431210
2.9238422390,1.8498177758,1.0740244633
3.0999126802,2.0998367567,1.0000759235
3.2450070881,2.3288708230,0.9161362652
3.3576759322,2.5346318448,0.8230440874
3.4367936520,2.7150642063,0.7217294458
3.4815699046,2.8683653459,0.6132045587
3.4915574625,2.9930037692,0.4985536932
3.4666566832,3.0877343520,0.3789223312
3.4071165057,3.1516107828,0.2555057230
3.3135319642,3.1839950191,0.1295369452
