minidx,maxidx
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,9
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,16
9,16
10,16
11,16
21,16
22,16
23,16
24,16
25,16
26,17
27,18
28,19
29,20
30,21
31,22
32,23
33,24
34,25
35,26
36,27
37,28
38,29
39,30
40,31
41,32
42,33
43,34
44,35
45,36
46,37
47,38
47,39
47,40
47,41
47,42
47,52
47,53
47,54
47,55
47,56
48,57
49,58
50,59
51,60
52,61
53,62
54,63
55,64
56,65
57,66
58,67
59,68
60,69
61,70
62,71
63,72
64,73
65,74
66,75
67,76
68,77
69,78
70,79
71,79
72,79
73,79
74,79
84,79
85,79
86,79
87,79
88,79
89,80
90,81
91,82
92,83
93,84
94,85
95,86
96,87
97,88
98,89
99,90
100,91
101,92
102,93
103,94
104,95
105,96
106,97
107,98
108,99
109,100
110,101
110,102
110,103
110,104
110,105
110,115
110,116
110,117
110,118
110,119
111,120
112,121
113,122
114,123
115,124
116,125
117,126
118,127
119,128
120,129
121,130
122,131
123,132
124,133
125,134
126,135
127,136
128,137
129,138
130,139
131,140
132,141
133,141
134,141
135,141
136,141
146,141
147,141
148,141
149,141
150,141
151,142
152,143
153,144
154,145
155,146
156,147
157,148
158,149
159,150
160,151
161,152
162,153
163,154
164,155
165,156
166,157
167,158
168,159
169,160
170,161
171,162
172,163
173,164
173,165
173,166
173,167
173,168
173,178
173,179
173,180
173,181
173,182
174,183
175,184
176,185
177,186
178,187
179,188
180,189
181,190
182,191
183,192
184,193
185,194
186,195
187,196
188,197
189,198
190,199
