fastk,fastd
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
77.0307121990,77.5151678936
76.3075274442,76.9695577387
75.3758846858,76.2380414430
74.2013005966,75.2949042422
72.7365296142,74.1045716322
70.9165540271,72.6181280793
68.6507521296,70.7679452570
65.8102822473,68.4591961347
62.2069671974,65.5560005248
57.5562351416,61.8578281955
51.4081392481,57.0571138624
41.5678882434,50.1774208777
31.0110526180,41.3290267032
27.6381049563,33.4056819392
24.1149655864,27.5880410536
21.3118708551,24.3549804659
19.1596455180,21.5288273198
17.4740128442,19.3151764058
16.1351946282,17.5896176634
15.0622753255,16.2238275993
14.1989260452,15.1321319996
13.5050316251,14.2554109986
12.9515696495,13.5518424400
12.5173719913,12.9913244220
12.1870249309,12.5519888572
11.9494867649,12.2179612290
11.7971769957,11.9778962305
11.7253908762,11.8240182123
11.7319528316,11.7515069012
11.8170606222,11.7581347767
11.9832993919,11.8441042819
12.2358274633,12.0120624925
12.5827588516,12.2672952356
13.0357960923,12.6181274690
13.6112080377,13.0765876605
14.3313121292,13.6594387531
15.2267298753,14.3897500141
16.3398777651,15.2993065899
17.7305153799,16.4323743401
19.4848752032,17.8517561160
21.7313536323,19.6489147385
24.6689670593,21.9617319649
29.7029224961,25.3677477292
39.3315391740,31.2344762431
46.0578636328,38.3641084343
52.5735377349,45.9876468472
58.4279301939,52.3531105205
62.8767832026,57.9594170438
66.3351792858,62.5466308941
69.0678248840,66.0932624575
71.2508967799,68.8846336499
73.0056299664,71.1081172101
74.4176224964,72.8913830809
75.5484510980,74.3239011869
76.4429226191,75.4696654045
77.1337322788,76.3750353320
77.6445152657,77.0737233879
77.9918611142,77.5900362196
78.1866276082,77.9410013293
78.2347546324,78.1377477849
78.1376936141,78.1863586182
77.8925107393,78.0883196619
77.4916776196,77.8406273243
76.9225215465,77.4355699685
76.1662598536,76.8601530066
75.1964782125,76.0950865375
73.9768140028,75.1131840230
72.4574436712,73.8769119622
70.5696913427,72.3346496723
68.2175629391,70.4148993177
65.2640288817,68.0170943878
61.5078971288,64.9964963165
56.6428563054,61.1382607720
50.1803786580,56.1103773641
39.5800855685,48.8011068440
30.5608086076,40.1070909447
27.1096344626,32.4168428796
23.5873289180,27.0859239961
20.9105443649,23.8691692485
18.8474667349,21.1151133393
17.2272301193,18.9950804064
15.9379747329,17.3375571957
14.9037098391,16.0229715638
14.0713061705,14.9709969142
13.4028080620,14.1259413572
12.8707022481,13.4482721602
12.4549114681,12.9094739261
12.1408385920,12.4888174360
11.9180773201,12.1712757934
11.7795643118,11.9461600746
11.7210387031,11.8062267783
11.7407301291,11.7471110480
11.8392322635,11.7670003652
12.0195450169,11.8665024698
12.2872909830,12.0486894211
12.6511353772,12.3193237924
13.1234688601,12.6872984068
13.7214567338,13.1653536570
14.4686285123,13.7711847021
15.3973017095,14.5291289852
16.5523477187,15.4727593135
17.9972085889,16.6489526724
19.8238643434,18.1244735503
22.1701053484,19.9970594269
25.2511784376,22.4150493765
30.9989765411,26.1400867757
41.1265153441,32.4588901076
47.1482317379,39.7579078744
53.6808873981,47.3185448267
59.2604727246,53.3631972869
63.5189235697,58.8200945641
66.8397517675,63.2063826873
69.4694810993,66.6093854788
71.5732083472,69.2941470713
73.2650936210,71.4359276892
74.6260325826,73.1547781836
75.7143621558,74.5351627865
76.5725800221,75.6376582535
77.2316783194,76.5062068325
77.7139890117,77.1727491177
78.0350615298,77.6602429536
78.2048813601,77.9846439672
78.2286129817,78.1561852905
78.1069716986,78.1801553468
77.8362744647,78.0572863817
77.4081764306,77.7838075313
76.8090580231,77.3511696395
76.0189777572,76.7454040703
75.0100369844,75.9460242549
73.7438959753,74.9243035723
72.1680033607,73.6406454401
70.2097904546,72.0405632635
67.7675118825,70.0484352326
64.6953140959,67.5575388110
60.7778702736,64.4135654173
55.6850380323,60.3860741339
48.6401839506,55.0343640855
37.2915789951,47.2056003260
29.9591341747,38.6302990401
26.4736026775,31.2414386158
23.0843698986,26.5057022503
20.5263463596,23.3614396453
18.5476791417,20.7194651333
16.9897260646,18.6879171886
15.7479134493,17.0951062185
14.7508177603,15.8294857581
13.9482970517,14.8156760871
13.3044240520,14.0011796213
12.7931111150,13.3486107395
12.3953173895,12.8309508521
12.0972263785,12.4285516277
11.8890435106,12.1271957596
11.7642074957,11.9168257949
11.7188926282,11.7907145449
11.7517302151,11.7449434463
11.8637110239,11.7781112891
12.0582557867,11.8912323419
12.3414631095,12.0878099734
12.7225684839,12.3740957934
13.2146799757,12.7595705231
13.8359036333,13.2577173643
14.6110484609,13.8872106900
15.5742324785,14.6737281909
16.7729484399,15.6527431264
18.2745955339,16.8739254841
20.1773748598,18.4083062779
22.6293323553,20.3604342497
25.8636215786,22.8901095979
32.3500464698,26.9476668012
42.0027155448,33.4054611977
48.1927092693,40.8484904279
54.7341122061,48.3098456734
60.0561918413,54.3276711056
64.1348534395,59.6417191623
67.3249640102,63.8386697637
69.8563784592,67.1053986363
71.8839499181,69.6884307958
73.5152508026,71.7518597266
74.8267706497,73.4086571235
75.8737930836,74.7386048453
76.6966271838,75.7990636391
77.3246413097,76.6316871924
77.7789166062,77.2667283666
78.0739964470,77.7258514543
78.2190147942,78.0239759491
78.2183711230,78.1704607881
78.0720460358,78.1698106510
77.7755998841,78.0220056810
77.3198542166,77.7225000455
76.6902133295,77.2618891434
75.8655312614,76.6251996025
74.8163557802,75.7907001237
73.5022650819,74.7280507079
71.8678187082,73.3954798568
